attempt_id,student_id,exercise_id,concept_code,secondary_concept_code,occurred_at,received_at,ingestion_lag_seconds,session_id,lesson_phase,is_correct,skipped,used_hint,attempt_number,difficulty,response_time_ms,days_since_last_practice,prerequisite_mastery,latent_ability,probability_correct,misconception_code,connectivity_mode,data_quality_flags,data_notice
attempt-0085,student-05,ex-08-05,PYTHON_FUNCTIONS,,2026-06-12T14:18:51.888311+00:00,2026-06-12T14:19:04.888311+00:00,13,session-student-05-004,PRACTICE,1,0,0,1,0.658,29104,3.573,0.161,0.329,0.279,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0086,student-06,ex-07-01,PYTHON_LISTS,,2026-06-12T17:48:28.518990+00:00,2026-06-12T17:48:43.518990+00:00,15,session-student-06-004,PRACTICE,1,0,1,2,0.238,11606,2.111,0.553,0.728,0.9216,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0087,student-07,ex-08-04,PYTHON_FUNCTIONS,,2026-06-12T21:07:32.541770+00:00,2026-06-12T21:07:46.541770+00:00,14,session-student-07-004,PRACTICE,0,0,0,1,0.571,31884,1.408,0.275,0.38,0.1072,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0088,student-08,ex-07-05,PYTHON_LISTS,,2026-06-13T00:23:54.627924+00:00,2026-06-13T00:24:15.627924+00:00,21,session-student-08-004,PRACTICE,0,0,0,2,0.666,34227,1.742,0.739,0.889,0.8035,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0089,student-10,ex-07-01,PYTHON_LISTS,,2026-06-13T02:41:34.592676+00:00,2026-06-13T02:41:57.592676+00:00,23,session-student-10-004,PRACTICE,0,0,0,3,0.238,14708,0.32,0.873,0.821,0.9217,LIST_INDEX_STARTS_AT_ONE,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0090,student-10,ex-06-05,PYTHON_WHILE,,2026-06-13T05:48:40.650449+00:00,2026-06-13T05:48:48.650449+00:00,8,session-student-10-004,PRACTICE,1,0,0,3,0.641,11284,4.527,0.941,0.86,0.6219,,OFFLINE_SYNC,OFFLINE_BATCH,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0091,student-11,ex-03-02,PYTHON_IF_ELSE,,2026-06-13T09:39:34.725178+00:00,2026-06-13T09:39:38.725178+00:00,4,session-student-11-004,PRACTICE,1,0,0,2,0.337,36476,4.834,0.617,0.789,0.5368,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0092,student-12,ex-03-05,PYTHON_IF_ELSE,,2026-06-13T12:30:17.881408+00:00,2026-06-13T12:30:19.881408+00:00,2,session-student-12-004,PRACTICE,1,0,0,1,0.674,47941,1.636,0.793,0.819,0.7706,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0093,student-13,ex-02-02,PYTHON_OPERATORS,,2026-06-13T15:10:23.271196+00:00,2026-06-13T15:10:27.271196+00:00,4,session-student-13-004,PRACTICE,1,0,1,2,0.352,16892,4.222,0.63,0.745,0.7612,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0094,student-14,ex-06-02,PYTHON_WHILE,,2026-06-13T18:00:27.125798+00:00,2026-06-13T18:00:51.125798+00:00,24,session-student-14-004,PRACTICE,0,0,1,2,0.331,23060,1.576,0.234,0.2,0.4419,WHILE_VARIABLE_NOT_UPDATED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0095,student-15,ex-06-01,PYTHON_WHILE,,2026-06-13T21:49:39.034356+00:00,2026-06-13T21:49:52.034356+00:00,13,session-student-15-004,PRACTICE,1,0,0,1,0.221,24444,2.388,0.677,0.67,0.7891,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0096,student-16,ex-07-05,PYTHON_LISTS,,2026-06-14T00:56:06.242975+00:00,2026-06-14T00:56:19.242975+00:00,13,session-student-16-004,PRACTICE,1,0,0,1,0.666,12070,0.256,0.551,0.48,0.3282,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0097,student-17,ex-05-05,PYTHON_RANGE,,2026-06-14T04:23:52.045481+00:00,2026-06-14T04:24:14.045481+00:00,22,session-student-17-004,PRACTICE,1,0,1,2,0.653,24636,1.827,0.563,0.662,0.4793,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0098,student-18,ex-02-01,PYTHON_OPERATORS,,2026-06-14T08:00:08.053224+00:00,2026-06-14T08:00:21.053224+00:00,13,session-student-18-004,PRACTICE,1,0,0,1,0.198,450,1.921,0.703,0.685,0.703,,STABLE,IMPLAUSIBLY_FAST,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0099,student-20,ex-05-03,PYTHON_RANGE,,2026-06-14T11:33:32.693728+00:00,2026-06-14T11:33:51.693728+00:00,19,session-student-20-004,PRACTICE,1,0,0,1,0.427,19465,3.276,0.841,0.874,0.91,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0100,student-20,ex-06-04,PYTHON_WHILE,,2026-06-14T13:34:24.935344+00:00,2026-06-14T13:34:25.935344+00:00,1,session-student-20-004,PRACTICE,1,0,0,2,0.529,82545,4.436,0.773,0.848,0.6987,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0101,student-01,ex-03-01,PYTHON_IF_ELSE,,2026-06-14T16:42:14.027689+00:00,2026-06-14T16:42:28.027689+00:00,14,session-student-01-005,PRACTICE,1,0,0,2,0.217,11220,4.489,0.783,0.848,0.891,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0102,student-02,ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,2026-06-14T19:32:23.175169+00:00,2026-06-14T19:32:30.175169+00:00,7,session-student-02-005,CHECKPOINT,0,0,0,1,0.792,38839,3.6,0.689,0.797,0.6068,FUNCTION_RETURN_VS_PRINT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0103,student-03,ex-01-04,PYTHON_VARIABLES,,2026-06-14T23:56:39.743928+00:00,2026-06-14T23:57:02.743928+00:00,23,session-student-03-005,PRACTICE,1,0,0,2,0.543,27724,3.856,0.508,0.642,0.722,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0104,student-04,ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,2026-06-15T02:16:13.480635+00:00,2026-06-15T02:16:18.480635+00:00,5,session-student-04-005,CHECKPOINT,0,0,0,2,0.792,26330,3.705,0.909,0.791,0.611,FUNCTION_RETURN_VS_PRINT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0105,student-05,ex-04-05,PYTHON_FOR,,2026-06-15T06:35:52.566751+00:00,2026-06-15T06:36:03.566751+00:00,11,session-student-05-005,PRACTICE,0,0,0,1,0.637,9369,3.413,0.37,0.499,0.1445,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0106,student-06,ex-07-04,PYTHON_LISTS,,2026-06-15T09:35:44.568759+00:00,2026-06-15T09:36:07.568759+00:00,23,session-student-06-005,PRACTICE,1,0,1,3,0.536,34086,0.688,0.772,0.728,0.7474,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0107,student-07,ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,2026-06-15T13:11:54.853740+00:00,2026-06-15T13:12:10.853740+00:00,16,session-student-07-005,CHECKPOINT,0,0,1,2,0.792,42025,4.315,0.375,0.38,0.4501,FUNCTION_RETURN_VS_PRINT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0108,student-08,ex-02-05,PYTHON_OPERATORS,,2026-06-15T15:45:39.842494+00:00,2026-06-15T15:45:52.842494+00:00,13,session-student-08-005,PRACTICE,1,0,0,3,0.681,17544,28.27,0.797,0.774,0.5187,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0109,student-09,ex-01-03,PYTHON_VARIABLES,,2026-06-15T19:12:41.030047+00:00,2026-06-15T19:13:05.030047+00:00,24,session-student-09-005,PRACTICE,0,0,0,1,0.434,16463,4.301,0.587,0.521,0.5427,VARIABLE_UPDATE_ORDER,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0110,student-10,ex-01-04,PYTHON_VARIABLES,,2026-06-15T21:39:15.846483+00:00,2026-06-15T21:39:38.846483+00:00,23,session-student-10-005,PRACTICE,1,0,0,1,0.543,10693,2.845,0.668,0.731,0.7591,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0111,student-11,ex-07-03,PYTHON_LISTS,,2026-06-16T00:09:58.716659+00:00,2026-06-16T00:10:05.716659+00:00,7,session-student-11-005,PRACTICE,1,0,0,1,0.42,33919,2.129,1.0,0.927,0.9193,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0112,student-12,ex-04-03,PYTHON_FOR,,2026-06-16T04:32:39.387372+00:00,2026-06-16T04:32:44.387372+00:00,5,session-student-12-005,PRACTICE,1,0,0,2,0.427,65656,1.426,0.758,0.898,0.8519,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0113,student-13,ex-03-05,PYTHON_IF_ELSE,,2026-06-16T08:21:28.677818+00:00,2026-06-16T08:21:45.677818+00:00,17,session-student-13-005,PRACTICE,0,0,0,1,0.674,24839,2.275,0.536,0.688,0.5208,IF_INDENTATION_ERROR,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0114,student-14,ex-04-06,PYTHON_FOR,PYTHON_IF_ELSE,2026-06-16T11:02:38.709400+00:00,2026-06-16T11:03:01.709400+00:00,23,session-student-14-005,CHECKPOINT,1,0,0,1,0.791,260000,3.269,0.652,0.761,0.6494,,STABLE,LONG_RESPONSE,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0115,student-15,ex-05-03,PYTHON_RANGE,,2026-06-16T13:47:40.426102+00:00,2026-06-16T13:47:43.426102+00:00,3,session-student-15-005,PRACTICE,0,0,1,2,0.427,31367,1.769,0.596,0.543,0.6116,RANGE_STOP_INCLUDED,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0116,student-16,ex-06-01,PYTHON_WHILE,,2026-06-16T16:30:57.135007+00:00,2026-06-16T16:31:17.135007+00:00,20,session-student-16-005,PRACTICE,1,0,0,3,0.221,24413,3.99,0.414,0.532,0.8359,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0117,student-17,ex-07-02,PYTHON_LISTS,,2026-06-16T19:14:44.333752+00:00,2026-06-16T19:14:52.333752+00:00,8,session-student-17-005,PRACTICE,1,0,1,1,0.309,72482,0.449,0.747,0.868,0.9018,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0118,student-18,ex-04-04,PYTHON_FOR,,2026-06-16T23:14:50.773085+00:00,2026-06-16T23:15:00.773085+00:00,10,session-student-18-005,PRACTICE,1,0,0,3,0.533,21523,1.537,0.885,0.873,0.7416,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0119,student-20,ex-07-06,PYTHON_LISTS,PYTHON_WHILE,2026-06-17T03:14:22.109531+00:00,2026-06-17T03:14:24.109531+00:00,2,session-student-20-005,CHECKPOINT,1,0,0,1,0.783,16611,3.822,0.805,0.941,0.7877,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0120,student-20,ex-08-04,PYTHON_FUNCTIONS,,2026-06-17T04:48:26.198788+00:00,2026-06-17T04:48:32.198788+00:00,6,session-student-20-005,PRACTICE,1,0,0,1,0.571,21060,2.872,0.656,0.786,0.7557,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0121,student-01,ex-03-02,PYTHON_IF_ELSE,,2026-06-17T08:30:48.010037+00:00,2026-06-17T08:31:03.010037+00:00,15,session-student-01-006,PRACTICE,1,0,0,3,0.337,29934,1.171,0.783,0.848,0.8715,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0122,student-02,ex-07-06,PYTHON_LISTS,PYTHON_WHILE,2026-06-17T11:59:23.981766+00:00,2026-06-17T11:59:35.981766+00:00,12,session-student-02-006,CHECKPOINT,1,0,0,1,0.783,101106,0.175,0.724,0.824,0.4387,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0123,student-03,ex-02-03,PYTHON_OPERATORS,,2026-06-17T15:43:09.577093+00:00,2026-06-17T15:43:28.577093+00:00,19,session-student-03-006,PRACTICE,1,0,0,3,0.462,46305,4.496,0.332,0.433,0.2974,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0124,student-04,ex-02-02,PYTHON_OPERATORS,,2026-06-17T18:11:36.920957+00:00,2026-06-17T18:11:45.920957+00:00,9,session-student-04-006,PRACTICE,1,0,0,1,0.352,54335,4.477,0.869,0.795,0.8714,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0125,student-05,ex-02-01,PYTHON_OPERATORS,,2026-06-17T20:51:26.021903+00:00,2026-06-17T20:51:49.021903+00:00,23,session-student-05-006,PRACTICE,1,0,1,1,0.198,19665,2.086,0.113,0.26,0.5496,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0126,student-06,ex-06-01,PYTHON_WHILE,,2026-06-18T01:59:16.151217+00:00,2026-06-18T01:59:26.151217+00:00,10,session-student-06-006,PRACTICE,0,0,1,1,0.221,11100,0.407,0.673,0.835,0.896,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0127,student-07,ex-04-01,PYTHON_FOR,,2026-06-18T04:06:59.431963+00:00,2026-06-18T04:07:15.431963+00:00,16,session-student-07-006,PRACTICE,1,0,0,1,0.218,19609,2.29,0.475,0.607,0.8106,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0128,student-08,ex-01-04,PYTHON_VARIABLES,,2026-06-18T08:21:31.236496+00:00,2026-06-18T08:21:40.236496+00:00,9,session-student-08-006,PRACTICE,1,0,0,1,0.543,18630,17.206,0.765,0.664,0.6211,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0129,student-10,ex-01-06,PYTHON_VARIABLES,PYTHON_VARIABLES,2026-06-18T09:45:15.716096+00:00,2026-06-18T09:45:35.716096+00:00,20,session-student-10-006,CHECKPOINT,1,0,1,2,0.782,28376,3.453,0.804,0.731,0.6156,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0130,student-10,ex-05-05,PYTHON_RANGE,,2026-06-18T13:35:33.221611+00:00,2026-06-18T13:35:54.221611+00:00,21,session-student-10-006,PRACTICE,1,0,1,1,0.653,11839,4.483,0.659,0.638,0.6372,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0131,student-11,ex-03-02,PYTHON_IF_ELSE,,2026-06-18T16:42:45.918423+00:00,2026-06-18T16:42:47.918423+00:00,2,session-student-11-006,PRACTICE,1,0,0,3,0.337,33192,2.27,0.822,0.789,0.897,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0132,student-12,ex-07-03,PYTHON_LISTS,,2026-06-18T20:06:47.609380+00:00,2026-06-18T20:07:04.609380+00:00,17,session-student-12-006,PRACTICE,1,0,0,1,0.42,44992,3.811,0.797,0.897,0.8498,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0133,student-13,ex-03-01,PYTHON_IF_ELSE,,2026-06-18T22:53:15.598981+00:00,2026-06-18T22:53:16.598981+00:00,1,session-student-13-006,PRACTICE,1,0,1,2,0.217,25317,1.575,0.605,0.688,0.8122,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0134,student-14,ex-02-06,PYTHON_OPERATORS,PYTHON_VARIABLES,2026-06-19T03:27:06.861635+00:00,2026-06-19T03:27:25.861635+00:00,19,session-student-14-006,CHECKPOINT,0,0,0,1,0.78,34910,3.289,0.874,0.76,0.5529,BOOLEAN_LOGIC_CONFUSION,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0135,student-15,ex-04-03,PYTHON_FOR,,2026-06-19T04:55:48.929207+00:00,2026-06-19T12:49:51.929207+00:00,28443,session-student-15-006,PRACTICE,1,0,0,1,0.427,26683,4.247,0.524,0.6,0.5582,,UNSTABLE,LATE_EVENT,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0136,student-16,ex-04-03,PYTHON_FOR,,2026-06-19T08:28:19.428172+00:00,2026-06-19T08:28:29.428172+00:00,10,session-student-16-006,PRACTICE,0,0,0,1,0.427,12846,4.003,0.269,0.386,0.6837,FOR_ITERATION_COUNT,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0137,student-17,ex-04-01,PYTHON_FOR,,2026-06-19T12:45:28.855365+00:00,2026-06-19T12:45:46.855365+00:00,18,session-student-17-006,PRACTICE,1,0,0,2,0.218,32582,3.99,0.686,0.826,0.9549,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0138,student-18,ex-02-06,PYTHON_OPERATORS,PYTHON_VARIABLES,2026-06-19T15:07:49.708505+00:00,2026-06-19T15:07:52.708505+00:00,3,session-student-18-006,CHECKPOINT,1,0,0,2,0.78,52672,1.245,0.688,0.685,0.5115,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0139,student-19,ex-07-05,PYTHON_LISTS,,2026-06-19T19:12:40.879495+00:00,2026-06-19T19:12:41.879495+00:00,1,session-student-19-006,PRACTICE,1,0,0,1,0.666,20569,1.712,0.494,0.657,0.4425,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0140,student-20,ex-03-04,PYTHON_IF_ELSE,,2026-06-19T21:39:11.375986+00:00,2026-06-19T21:39:35.375986+00:00,24,session-student-20-006,PRACTICE,1,0,0,1,0.557,57253,3.052,0.839,0.96,0.8437,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0141,student-01,ex-03-04,PYTHON_IF_ELSE,,2026-06-20T00:21:59.907410+00:00,2026-06-20T00:22:04.907410+00:00,5,session-student-01-007,PRACTICE,0,0,1,4,0.557,37637,2.769,0.693,0.848,0.807,IF_INDENTATION_ERROR,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0142,student-02,ex-07-06,PYTHON_LISTS,PYTHON_WHILE,2026-06-20T04:49:55.513002+00:00,2026-06-20T04:50:15.513002+00:00,20,session-student-02-007,CHECKPOINT,1,0,0,2,0.783,33860,2.156,0.706,0.824,0.6532,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0143,student-03,ex-05-03,PYTHON_RANGE,,2026-06-20T06:58:42.810689+00:00,2026-06-20T06:58:58.810689+00:00,16,session-student-03-007,PRACTICE,0,0,0,1,0.427,28691,3.149,0.204,0.24,0.3254,RANGE_STOP_INCLUDED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0144,student-04,ex-08-05,PYTHON_FUNCTIONS,,2026-06-20T10:59:33.094942+00:00,2026-06-20T10:59:42.094942+00:00,9,session-student-04-007,PRACTICE,1,0,0,2,0.658,31507,4.837,0.705,0.791,0.4867,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0145,student-05,ex-01-06,PYTHON_VARIABLES,PYTHON_VARIABLES,2026-06-20T13:55:18.460545+00:00,2026-06-20T13:55:27.460545+00:00,9,session-student-05-007,CHECKPOINT,0,0,0,2,0.782,15038,3.383,0.169,0.26,0.0626,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0146,student-06,ex-08-05,PYTHON_FUNCTIONS,,2026-06-20T16:06:05.291792+00:00,2026-06-20T16:06:16.291792+00:00,11,session-student-06-007,PRACTICE,1,0,0,1,0.658,7449,4.748,0.885,0.885,0.8983,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0147,student-07,ex-03-03,PYTHON_IF_ELSE,,2026-06-20T19:54:19.856672+00:00,2026-06-20T19:54:22.856672+00:00,3,session-student-07-007,PRACTICE,1,0,1,1,0.421,15206,1.546,0.366,0.469,0.5462,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0148,student-08,ex-08-02,PYTHON_FUNCTIONS,,2026-06-20T23:16:06.369646+00:00,2026-06-20T23:16:21.369646+00:00,15,session-student-08-007,PRACTICE,1,0,0,1,0.326,16275,1.203,0.672,0.815,0.8411,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0149,student-10,ex-05-01,PYTHON_RANGE,,2026-06-21T02:16:16.796811+00:00,2026-06-21T02:16:20.796811+00:00,4,session-student-10-007,PRACTICE,0,0,0,2,0.219,8189,1.923,0.502,0.638,0.8002,RANGE_STOP_INCLUDED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0150,student-10,ex-08-03,PYTHON_FUNCTIONS,,2026-06-21T05:50:49.049280+00:00,2026-06-21T05:50:58.049280+00:00,9,session-student-10-007,PRACTICE,1,0,1,1,0.442,18835,0.526,0.831,0.755,0.8386,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0151,student-11,ex-06-05,PYTHON_WHILE,,2026-06-21T08:44:04.521892+00:00,2026-06-21T08:44:05.521892+00:00,1,session-student-11-007,PRACTICE,0,0,0,1,0.641,62380,2.013,0.911,0.96,0.553,WHILE_VARIABLE_NOT_UPDATED,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0152,student-12,ex-08-01,PYTHON_FUNCTIONS,,2026-06-21T12:35:31.833139+00:00,2026-06-21T12:35:45.833139+00:00,14,session-student-12-007,PRACTICE,0,1,0,1,0.229,29836,1.929,0.752,0.795,0.8777,,STABLE,SKIPPED,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0153,student-13,ex-05-06,PYTHON_RANGE,PYTHON_FOR,2026-06-21T14:24:57.034273+00:00,2026-06-21T14:25:20.034273+00:00,23,session-student-13-007,CHECKPOINT,1,0,1,1,0.766,23580,4.579,0.101,0.24,0.2636,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0154,student-14,ex-03-05,PYTHON_IF_ELSE,,2026-06-21T18:49:54.924690+00:00,2026-06-21T18:50:02.924690+00:00,8,session-student-14-007,PRACTICE,1,0,1,1,0.674,63158,4.62,0.707,0.758,0.659,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0155,student-15,ex-01-01,PYTHON_VARIABLES,,2026-06-21T21:24:28.804933+00:00,2026-06-21T21:24:34.804933+00:00,6,session-student-15-007,PRACTICE,1,0,0,1,0.244,26546,2.371,0.37,0.26,0.4084,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0156,student-16,ex-07-05,PYTHON_LISTS,,2026-06-22T01:45:45.815806+00:00,2026-06-22T01:46:04.815806+00:00,19,session-student-16-007,PRACTICE,0,0,1,2,0.666,30108,0.356,0.357,0.48,0.3773,LIST_INDEX_STARTS_AT_ONE,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0157,student-17,ex-05-06,PYTHON_RANGE,PYTHON_FOR,2026-06-22T04:16:54.445623+00:00,2026-06-22T04:17:03.445623+00:00,9,session-student-17-007,CHECKPOINT,1,0,0,2,0.766,37756,0.853,0.588,0.662,0.487,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0158,student-18,ex-04-06,PYTHON_FOR,PYTHON_IF_ELSE,2026-06-22T07:53:36.349057+00:00,2026-06-22T07:53:51.349057+00:00,15,session-student-18-007,CHECKPOINT,0,0,1,3,0.791,25007,13.177,0.988,0.873,0.5058,FOR_ITERATION_COUNT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0159,student-20,ex-07-04,PYTHON_LISTS,,2026-06-22T10:58:30.426653+00:00,2026-06-22T10:58:36.426653+00:00,6,session-student-20-007,PRACTICE,1,0,0,2,0.536,26618,2.179,0.906,0.941,0.8333,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0160,student-20,ex-07-02,PYTHON_LISTS,,2026-06-22T14:23:01.997251+00:00,2026-06-22T14:23:11.997251+00:00,10,session-student-20-007,PRACTICE,1,0,0,3,0.309,43233,3.233,0.803,0.941,0.9489,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0161,student-01,ex-08-01,PYTHON_FUNCTIONS,,2026-06-22T17:39:45.328425+00:00,2026-06-22T17:40:06.328425+00:00,21,session-student-01-008,PRACTICE,1,0,0,1,0.229,43552,2.696,0.789,0.888,0.8829,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0162,student-02,ex-05-03,PYTHON_RANGE,,2026-06-22T20:07:02.567939+00:00,2026-06-22T20:07:03.567939+00:00,1,session-student-02-008,PRACTICE,1,0,1,2,0.427,83289,2.927,0.704,0.729,0.8394,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0163,student-03,ex-08-02,PYTHON_FUNCTIONS,,2026-06-22T23:26:22.719802+00:00,2026-06-22T23:26:43.719802+00:00,21,session-student-03-008,PRACTICE,0,0,0,1,0.326,17900,0.193,0.587,0.58,0.5683,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0164,student-04,ex-07-03,PYTHON_LISTS,,2026-06-23T03:05:01.567328+00:00,2026-06-23T03:05:18.567328+00:00,17,session-student-04-008,PRACTICE,1,0,0,1,0.42,28549,1.04,0.698,0.82,0.8961,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0165,student-05,ex-06-05,PYTHON_WHILE,,2026-06-23T06:16:34.110889+00:00,2026-06-23T06:16:52.110889+00:00,18,session-student-05-008,PRACTICE,0,1,1,1,0.641,28634,2.112,0.496,0.529,0.3996,,STABLE,SKIPPED,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0166,student-06,ex-01-01,PYTHON_VARIABLES,,2026-06-23T08:46:59.573259+00:00,2026-06-23T08:47:12.573259+00:00,13,session-student-06-008,PRACTICE,1,0,1,1,0.244,25783,4.777,0.645,0.765,0.8281,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0167,student-07,ex-01-03,PYTHON_VARIABLES,,2026-06-23T11:23:42.496505+00:00,2026-06-23T11:24:02.496505+00:00,20,session-student-07-008,PRACTICE,1,0,1,1,0.434,58255,3.813,0.412,0.479,0.6225,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0168,student-08,ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,2026-06-23T15:58:15.428133+00:00,2026-06-23T15:58:36.428133+00:00,21,session-student-08-008,CHECKPOINT,0,0,0,2,0.792,27053,22.035,0.746,0.815,0.3298,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0169,student-09,ex-04-04,PYTHON_FOR,,2026-06-23T18:02:14.300784+00:00,2026-06-23T18:02:28.300784+00:00,14,session-student-09-008,PRACTICE,0,0,0,1,0.533,30747,2.732,0.229,0.398,0.2722,FOR_ITERATION_COUNT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
